@relation corpus_final

@attribute corpus string
@attribute TLD {China,Germany,India,Japan,Pakistan}

@data
' Choose one of our recommended tours to help you to explore the museum. Each recommended tour is given under an estimate of time it will take for you to complete. ',China
' The center of imperial governance and family life the Forbidden City consists of various structures that were designed for specific functions. Each structure was built in accordance with the traditional Chinese architectural hierarchy and designed to reflect imperial power and authority. ',China
' A Self portrait ',China
' Period  Qing dynasty  1644 1911  Medium  ink and color on paper Format  hanging scroll ',China
' Artist s   Ren Xiong  1823 1857  ',China
' Dimensions  177.4   78.5 cm ',China
' Born in Xiaoshan Zhejiang province Ren Xiong lived in Shanghai selling paintings to earn a living. He painted a wide range of subjects particularly specialized in painting figures and Daoist stories. He imitated the paintings of Chen Hongshou  1598 1652  a well known painter of late Ming dynasty  1368 1644 . Ren s works are characterized by the slight exaggeration and distortion of figures. As a key representative of the Shanghai school  in modern times Ren Xiong ranked with Ren Xun  1835 1893  Ren Yi  1840 1896  and Ren Yu  1854 1901  as the Four Rens of Shanghai  and also with Zhu Xiong  1801 1846  and Zhang Xiong  1803 1886  as the Three Xiongs of Shanghai . Although the scroll is not dated the portrait suggests that Ren Xiong is a robust young man in his early thirties. It was a time when drastic social upheavals came one after another. Having witnessed the growing corruption in the Qing government the ups and downs of the Taiping Rebellion as well as the invasion by Western powers the painter wears a contemplative look on his face. By baring his right shoulder the disheveled painter looks as though he were an outlaw of the woods with no trace of the artistic style of literati portraiture such as sitting upright or enjoying a carefree life in the countryside. The drapery brushed with vigorous touches and fine strokes not only conforms to his firm and valiant image but also contrasts with his inner strength and masculinity adding to the drama of the portrait. ',China
' Architecture experts at Shanghai Tongji University have worked out a blueprint to restore one of the holist sites in Tibet a project that is expected to break ground in May. ',China
' Shanghai government plans to raise 30 million yuan  US 3.6 million  to restore the Sangzhuzi Castle in the city Shigatse Tibet and build an on site museum dedicated to the ancient city s culture. The project is expected to take one to two years to complete. ',China
' As a religious site the historical value of the castle is priceless Chang Qing a professor in Tongji s Architecture and Urban Planning College said yesterday. Besides restoring the castle we also have plans to build a multi function sightseeing complex Chang said. ',China
' According to the blueprint the construction will have four stories and will be 92 meters tall. The total construction area of the castle will exceed 8000 square meters. Outside the front gate an open area will be created for people to hold religious rituals while the second floor will host an exhibition hall to celebrate Tibetan culture and history as well as an art gallery. ',China
' Built in 1363 Sangzhuzi Castle is the oldest structure in Shigatse and was among the temporary dwelling places to all previous Panchen Lamas prior to the current one. ',China
' As the original structure of the castle looked like the Potala Palace in Lhasa the best known place of interest in Tibet Sangzhuzi Castle was crowned Little Potala Palace even though it is 330 years older that the Buddhist temple in Lhasa. ',China
' More than 600 years ago a skilled Tibetan architect journeyed to Lhasa to pay tribute to the Buddha. ',China
' As the legend goes when he saw the magnificent Potala Palace he decided to accomplish the same architectural wonder in his hometown of Xigaze which is located some 250 kilometers from Tibet s capital Lhasa. ',China
' He carved the design of the Potala Palace onto a turnip but the turnip shrank as he trekked home. A replica of Potala Palace was built but on a smaller scale said Tashi Namgyai 74 who lives in Xigaze. ',China
' What the local Tibetans call the mini Potala is Sangtsu Tsezung Palace. ',China
' The Sangtsu Tsezung Palace and the Tashilhunbo Monastery the traditional palace residence of Panchen Lama were the most magnificent buildings in Xigaze when we were children said Cering. The 73 year old Tibetan woman lives nearby Sangtsu Tsezung Palace. ',China
' Early this month work has started on the site to restore a series of buildings at Sangtsu Tsezung Palace the oldest building complex in Xigaze. ',China
' Sangtsu Tsezung Palace is little known to people outside of Tibet but a household name in the snow covered area in Southwest China. ',China
' Built in 1363 the main structure of the palace is more than 120 meters tall and looks similar to the famous Potala Palace in Lhasa thus earning the nickname Mini Potala Palace. ',China
' The palace fell into disrepair and is now on the verge of collapse. Most of the contents have been removed but the palace foundation is still solid. ',China
' The renovation project is being sponsored by Shanghai municipal government which is putting up 40 million yuan  US 5 million . ',China
' The Architecture School of Shanghai Tongji University has undertaken the project. ',China
' When it is completed in May 2007 the castle like structure will have 7500 square metres of floor space said Qoi gyi Gyaincain an architect and living Buddha with the Tibet Autonomous Regional Architecture Prospecting and Design Institute. ',China
' For hundreds of years the palace was a place of government and worship for the elite of Tibetan society. ',China
' Common Tibetans were not allowed to go up there. The basement of the palace contains cells for prisoners Cering recalled. ',China
' In the old days parents often frightened children by threatening to send them there if they did not behave themselves. ',China
' Sangtsu Tsezung Palace is an excellent example of Tibetan architecture technique which some believe is even better than the famous Potala Palace which was built about 700 years earlier said Qoi gyi Gyaincain. ',China
' The original Potala Palace in Lhasa was built in the 7th century but was destroyed by fire after it was hit by lightning. ',China
' The Potala Palace was rebuilt about 300 years ago by the 5th Dalai Lama which makes Xigaze s Sangtsu Tsezung Palace 330 years older than the rebuilt Potala Palace. ',China
' We feel in our hearts that like Potala Palace Sangtsu Tsezung Palace is a sacred and magnificent building said Tashi Namgyai. ',China
' From the 14th century to the 15th century Tibet set up 13 administrative centers throughout the region and erected a building in each centre for both religious and administrative purposes. ',China
' Sangtsu Tsezung Palace was the last and largest of the 13 administrative centers to be built and therefore benefited from the skills of many experienced craftspeople. ',China
' The restorers will examine the remains of the palace to better understand Tibetan architecture techniques. ',China
' Archival photographs and records will help architects duplicate the palace s original appearance said Hai Shuanglin an architect in charge of the project from Tongji University. ',China
' Society ',China
' Flights canceled delayed but no respite from rains in Shanghai ',China
' 1 ',China
' 2015 06 17 08 40Shanghai Daily Editor  Wang Fan ',China
